Song,Artist,Difficulty,Lv,CC,Notes,Chart designer,Version
Sayonara Hatsukoi,REDSHiFT,Past,1,1.5,205,Nitro,1.0.5
Sayonara Hatsukoi,REDSHiFT,Present,4,4.5,305,Nitro,1.0.5
Sayonara Hatsukoi,REDSHiFT,Future,7,7,666,Toaster,1.0.5
Sayonara Hatsukoi,REDSHiFT,Eternal,8,8.5,728,Luxance + Exschwasion,5.4.0
Lost Civilization,Laur vs CK,Past,4,4,462,Toaster,1.0.5
Lost Civilization,Laur vs CK,Present,7,7,690,Toaster,1.0.5
Lost Civilization,Laur vs CK,Future,9,9.2,986,Toaster,1.0.5
Lost Civilization,Laur vs CK,Beyond,9+,9.8,1061,Nitro affected by Nitro,3.6.0
GOODTEK (Arcaea Edit),EBIMAYO,Past,4,4,449,Nitro,1.0.5
GOODTEK (Arcaea Edit),EBIMAYO,Present,6,6.5,632,Nitro,1.0.5
GOODTEK (Arcaea Edit),EBIMAYO,Future,9,9.3,968,Nitro,1.0.5
GOODTEK (Arcaea Edit),EBIMAYO,Beyond,9+,9.8,1103,GOODTOAST,3.0.0
cry of viyella,Laur,Past,3,3.5,414,Toaster,1.0.5
cry of viyella,Laur,Present,6,6,492,Toaster,1.0.5
cry of viyella,Laur,Future,8+,8.7,791,Toaster,1.0.5
Rise,Combatplayer,Past,2,2.5,322,Nitro,1.0.5
Rise,Combatplayer,Present,4,4,599,Nitro,1.0.5
Rise,Combatplayer,Future,7+,7.8,788,Nitro,1.0.5
Lucifer,chitose,Past,3,3.5,424,Nitro,1.0.5
Lucifer,chitose,Present,5,5.5,506,Nitro,1.0.5
Lucifer,chitose,Future,8,8.2,861,Nitro,1.0.5
Fairytale,chitose,Past,1,1,336,Toaster,1.0.5
Fairytale,chitose,Present,3,3.5,511,Toaster,1.0.5
Fairytale,chitose,Future,7,7,782,Toaster,1.0.5
Fairytale,chitose,Beyond,9,9.5,932,Nitro in Wonderland,3.0.0
I've heard it said,Combatplayer,Past,3,3.5,510,Toaster,1.0.5
I've heard it said,Combatplayer,Present,6,6,664,Toaster,1.0.5
I've heard it said,Combatplayer,Future,8,8.1,864,Toaster,1.0.5
Babaroque,cYsmix,Past,3,3,402,Toaster,1.0.5
Babaroque,cYsmix,Present,6,6.5,645,Toaster,1.0.5
Babaroque,cYsmix,Future,8,8.5,808,Toaster,1.0.5
memoryfactory.lzh,Frums,Past,2,2.5,308,Nitro,1.0.5
memoryfactory.lzh,Frums,Present,5,5.5,448,Nitro,1.0.5
memoryfactory.lzh,Frums,Future,8+,8.9,672,Nitro,1.0.5
Snow White,Puru,Past,2,2.5,486,Toaster,1.0.5
Snow White,Puru,Present,5,5,672,Toaster,1.0.5
Snow White,Puru,Future,8,8.4,978,Toaster,1.0.5
Snow White,Puru,Beyond,9+,9.7,1031,én + Nitro,6.4.0
Relentless,Akira Complex,Past,4,4.5,607,Nitro,1.0.5
Relentless,Akira Complex,Present,6,6.5,722,Nitro,1.0.5
Relentless,Akira Complex,Future,8,8,1015,Nitro,1.0.5
Shades of Light in a Transcendent Realm,ak+q,Past,3,3,517,Nitro,1.0.5
Shades of Light in a Transcendent Realm,ak+q,Present,6,6,789,Nitro,1.0.5
Shades of Light in a Transcendent Realm,ak+q,Future,8,8.3,1067,Nitro,1.0.5
Shades of Light in a Transcendent Realm,ak+q,Beyond,9,9.1,1042,N↑TRO,4.3.2
Vexaria,ak+q,Past,2,2.5,369,Nitro,1.0.5
Vexaria,ak+q,Present,5,5,534,Nitro,1.0.5
Vexaria,ak+q,Future,7,7,734,Nitro,1.0.5
Vexaria,ak+q,Beyond,9,9,785,石樂,3.0.0
Essence of Twilight,ak+q,Past,4,4.5,556,Nitro,1.0.5
Essence of Twilight,ak+q,Present,7,7,767,Nitro,1.0.5
Essence of Twilight,ak+q,Future,9,9.1,1204,Nitro,1.0.5
qualia -ideaesthesia-,nitro,Past,4,4.5,550,-chartaesthesia-,1.0.5
qualia -ideaesthesia-,nitro,Present,7,7,875,-chartaesthesia-,1.0.5
qualia -ideaesthesia-,nitro,Future,9,9.1,1022,-chartaesthesia-,1.0.5
qualia -ideaesthesia-,nitro,Beyond,9+,9.8,1288,moonquay -end of chartaesthesia-,3.10.0
PRAGMATISM,Laur,Past,4,4.5,476,東星,1.0.5
PRAGMATISM,Laur,Present,8,8.6,855,東星,1.0.5
PRAGMATISM,Laur,Future,10,10.1,942,東星,1.0.5
PRAGMATISM -RESURRECTION-,Laur,Beyond,11,11.2,1502,THE LAST DREAM,3.10.0
Sheriruth,Team Grimoire,Past,5,5.5,611,夜浪,1.0.5
Sheriruth,Team Grimoire,Present,7,7.5,832,夜浪,1.0.5
Sheriruth,Team Grimoire,Future,10,10,1151,夜浪,1.0.5
Lumia,sky_delta,Past,2,2.5,469,Nitro,1.0.5
Lumia,sky_delta,Present,5,5.5,438,Nitro,1.0.5
Lumia,sky_delta,Future,8,8.4,961,Toaster missing Nitro.,1.0.5
Lumia,sky_delta,Beyond,9,9.5,814,Toaster.,3.2.3
Dement ~after legend~,Cosmograph,Past,3,3.5,548,Toaster,1.0.9
Dement ~after legend~,Cosmograph,Present,6,6,756,Toaster,1.0.9
Dement ~after legend~,Cosmograph,Future,7+,7.8,970,Toaster,1.0.9
Dement ~after legend~,Cosmograph,Beyond,9+,9.9,1040,Nitro ~ABYSS~,3.1.0
Dandelion,Farhan,Past,2,2.5,391,Nitro,1.0.9
Dandelion,Farhan,Present,6,6,698,Nitro,1.0.9
Dandelion,Farhan,Future,8,8.5,921,Nitro,1.0.9
Anökumene,Jun Kuroda,Past,2,2.5,412,Toaster,1.0.10
Anökumene,Jun Kuroda,Present,6,6.5,588,Toaster,1.0.10
Anökumene,Jun Kuroda,Future,9,9.2,851,Toaster,1.0.10
Anökumene,Jun Kuroda,Beyond,9+,9.9,971,Astral Luxance,6.4.0
Infinity Heaven,HyuN,Past,1,1.5,336,Nitro,1.0.10
Infinity Heaven,HyuN,Present,5,5.5,545,Nitro,1.0.10
